cms_certification_number,num_chows_lite,num_chows_mcr,lite_dates,mcr_dates,first_lite_date,first_mcr_date,last_lite_date,last_mcr_date,n_common_exact,n_common_within_1m,match_type,discrepancy_flag,delta_first_months,within_0m,within_1m,jaccard_months,only_in_lite_dates,only_in_mcr_dates
045199,2,0,2020-07|2022-01,,2020-07,,2022-01,,0,0,only_lite,1,,False,False,0.0,2020-07|2022-01,
045203,1,2,2019-11,2018-09|2020-01,2019-11,2018-09,2019-11,2020-01,0,0,both_yes_different_months,1,14.0,False,False,0.0,2019-11,2018-09|2020-01
045207,2,1,2019-09|2022-01,2019-09,2019-09,2019-09,2022-01,2019-09,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045208,1,0,2024-12,,2024-12,,2024-12,,0,0,only_lite,1,,False,False,0.0,2024-12,
045211,1,0,2023-03,,2023-03,,2023-03,,0,0,only_lite,1,,False,False,0.0,2023-03,
045212,2,4,2019-01|2021-04,2016-03|2016-04|2019-01|2021-04,2019-01,2016-03,2021-04,2021-04,2,2,both_yes_different_months,1,34.0,True,True,0.5,,2016-03|2016-04
045216,3,1,2022-01|2022-05|2022-08,2022-05,2022-01,2022-05,2022-08,2022-05,1,1,both_yes_different_months,1,-4.0,True,True,0.3333333333333333,2022-01|2022-08,
045217,1,2,2021-01,2016-02|2020-12,2021-01,2016-02,2021-01,2020-12,0,1,both_yes_different_months,1,59.0,False,True,0.0,2021-01,2016-02|2020-12
045232,2,4,2019-01|2021-04,2016-03|2016-04|2019-01|2021-04,2019-01,2016-03,2021-04,2021-04,2,2,both_yes_different_months,1,34.0,True,True,0.5,,2016-03|2016-04
045236,2,1,2019-09|2022-01,2019-09,2019-09,2019-09,2022-01,2019-09,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045239,2,1,2020-07|2022-01,2020-07,2020-07,2020-07,2022-01,2020-07,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045242,2,1,2018-07|2023-04,2018-06,2018-07,2018-06,2023-04,2018-06,0,1,both_yes_different_months,1,1.0,False,True,0.0,2018-07|2023-04,2018-06
045243,2,1,2019-09|2022-01,2019-09,2019-09,2019-09,2022-01,2019-09,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045245,2,1,2019-09|2022-01,2019-09,2019-09,2019-09,2022-01,2019-09,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045250,1,0,2019-01,,2019-01,,2019-01,,0,0,only_lite,1,,False,False,0.0,2019-01,
045256,2,1,2019-09|2022-01,2019-09,2019-09,2019-09,2022-01,2019-09,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045259,2,3,2019-01|2021-04,2016-03|2016-04|2019-01,2019-01,2016-03,2021-04,2019-01,1,1,both_yes_different_months,1,34.0,True,True,0.25,2021-04,2016-03|2016-04
045268,1,0,2023-01,,2023-01,,2023-01,,0,0,only_lite,1,,False,False,0.0,2023-01,
045269,2,4,2020-06|2022-06,2016-04|2020-06|2021-06|2022-06,2020-06,2016-04,2022-06,2022-06,2,2,both_yes_different_months,1,50.0,True,True,0.5,,2016-04|2021-06
045270,2,1,2019-09|2022-01,2019-09,2019-09,2019-09,2022-01,2019-09,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045271,2,1,2018-04|2018-08,2018-08,2018-04,2018-08,2018-08,2018-08,1,1,both_yes_different_months,1,-4.0,True,True,0.5,2018-04,
045275,3,2,2018-10|2021-02|2022-03,2018-10|2021-03,2018-10,2018-10,2022-03,2021-03,1,2,both_yes_different_months,1,0.0,True,True,0.25,2021-02|2022-03,2021-03
045277,1,0,2023-03,,2023-03,,2023-03,,0,0,only_lite,1,,False,False,0.0,2023-03,
045284,2,1,2019-09|2022-01,2019-09,2019-09,2019-09,2022-01,2019-09,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045288,2,2,2017-06|2021-07,2017-08|2021-07,2017-06,2017-08,2021-07,2021-07,1,1,both_yes_different_months,1,-2.0,True,True,0.3333333333333333,2017-06,2017-08
045289,1,0,2024-12,,2024-12,,2024-12,,0,0,only_lite,1,,False,False,0.0,2024-12,
045297,1,2,2018-11,2000-01|2018-11,2018-11,2000-01,2018-11,2018-11,1,1,both_yes_different_months,1,226.0,True,True,0.5,,2000-01
045305,2,0,2020-07|2022-01,,2020-07,,2022-01,,0,0,only_lite,1,,False,False,0.0,2020-07|2022-01,
045313,1,1,2018-07,2018-06,2018-07,2018-06,2018-07,2018-06,0,1,both_yes_different_months,1,1.0,False,True,0.0,2018-07,2018-06
045314,1,2,2018-02,2016-10|2018-02,2018-02,2016-10,2018-02,2018-02,1,1,both_yes_different_months,1,16.0,True,True,0.5,,2016-10
045315,2,2,2018-11|2021-01,2000-01|2018-11,2018-11,2000-01,2021-01,2018-11,1,1,both_yes_different_months,1,226.0,True,True,0.3333333333333333,2021-01,2000-01
045318,2,1,2021-10|2022-06,2022-08,2021-10,2022-08,2022-06,2022-08,0,0,both_yes_different_months,1,-10.0,False,False,0.0,2021-10|2022-06,2022-08
045323,2,1,2018-07|2023-04,2018-06,2018-07,2018-06,2023-04,2018-06,0,1,both_yes_different_months,1,1.0,False,True,0.0,2018-07|2023-04,2018-06
045326,1,1,2018-07,2018-06,2018-07,2018-06,2018-07,2018-06,0,1,both_yes_different_months,1,1.0,False,True,0.0,2018-07,2018-06
045327,1,0,2017-01,,2017-01,,2017-01,,0,0,only_lite,1,,False,False,0.0,2017-01,
045334,2,3,2019-01|2021-04,2016-06|2019-01|2021-04,2019-01,2016-06,2021-04,2021-04,2,2,both_yes_different_months,1,31.0,True,True,0.6666666666666666,,2016-06
045345,2,5,2019-01|2021-04,2015-11|2016-03|2016-04|2019-01|2021-06,2019-01,2015-11,2021-04,2021-06,1,1,both_yes_different_months,1,38.0,True,True,0.1666666666666666,2021-04,2015-11|2016-03|2016-04|2021-06
045346,2,3,2018-09|2022-06,2018-09|2019-09|2022-06,2018-09,2018-09,2022-06,2022-06,2,2,both_yes_different_months,1,0.0,True,True,0.6666666666666666,,2019-09
045350,1,3,2022-07,2015-12|2017-12|2022-06,2022-07,2015-12,2022-07,2022-06,0,1,both_yes_different_months,1,79.0,False,True,0.0,2022-07,2015-12|2017-12|2022-06
045353,2,0,2020-10|2022-01,,2020-10,,2022-01,,0,0,only_lite,1,,False,False,0.0,2020-10|2022-01,
045356,1,0,2018-06,,2018-06,,2018-06,,0,0,only_lite,1,,False,False,0.0,2018-06,
045357,1,3,2022-03,2015-12|2017-12|2022-03,2022-03,2015-12,2022-03,2022-03,1,1,both_yes_different_months,1,75.0,True,True,0.3333333333333333,,2015-12|2017-12
045358,2,1,2019-01|2022-01,2019-01,2019-01,2019-01,2022-01,2019-01,1,1,both_yes_different_months,1,0.0,True,True,0.5,2022-01,
045359,2,4,2019-01|2021-04,2016-03|2016-04|2019-01|2021-04,2019-01,2016-03,2021-04,2021-04,2,2,both_yes_different_months,1,34.0,True,True,0.5,,2016-03|2016-04
045361,1,0,2023-01,,2023-01,,2023-01,,0,0,only_lite,1,,False,False,0.0,2023-01,
045364,0,1,,2016-09,,2016-09,,2016-09,0,0,only_mcr,1,,False,False,0.0,,2016-09
