cms_certification_number,first_month,last_month,months_observed,months_expected,months_missing,has_gaps
045427,2017-01,2025-03,99,99,0,False
045428,2017-01,2025-03,99,99,0,False
045430,2017-01,2025-03,96,99,3,True
045431,2017-01,2025-03,90,99,9,True
045432,2017-10,2025-03,81,90,9,True
045433,2017-01,2025-03,99,99,0,False
045434,2017-01,2025-03,99,99,0,False
045435,2017-01,2025-03,99,99,0,False
045436,2017-01,2025-03,93,99,6,True
045437,2017-01,2025-03,99,99,0,False
045438,2017-01,2025-03,99,99,0,False
045439,2017-01,2025-03,99,99,0,False
045440,2017-01,2025-03,99,99,0,False
045441,2017-07,2025-03,87,93,6,True
045442,2017-01,2025-03,99,99,0,False
045443,2018-07,2025-03,81,81,0,False
045445,2017-01,2025-03,99,99,0,False
045446,2017-04,2025-03,93,96,3,True
045447,2017-01,2025-03,90,99,9,True
045448,2017-10,2019-12,27,27,0,False
045449,2017-04,2025-03,93,96,3,True
045450,2017-04,2025-03,90,96,6,True
045451,2017-07,2025-03,84,93,9,True
045452,2017-01,2025-03,90,99,9,True
045453,2017-01,2025-03,99,99,0,False
045454,2017-01,2025-03,90,99,9,True
045455,2017-01,2025-03,99,99,0,False
045456,2017-07,2025-03,75,93,18,True
045457,2017-01,2025-03,99,99,0,False
045458,2017-01,2025-03,99,99,0,False
045459,2017-01,2017-09,9,9,0,False
045460,2017-01,2025-03,99,99,0,False
045461,2018-10,2019-03,6,6,0,False
045462,2019-04,2025-03,66,72,6,True
045463,2018-07,2025-03,81,81,0,False
045464,2018-04,2025-03,84,84,0,False
045465,2018-04,2025-03,84,84,0,False
045466,2019-10,2025-03,66,66,0,False
045467,2019-07,2025-03,69,69,0,False
045468,2020-07,2021-12,18,18,0,False
045469,2020-07,2023-09,39,39,0,False
045470,2020-07,2025-03,54,57,3,True
045471,2020-07,2025-03,57,57,0,False
045474,2023-10,2025-03,18,18,0,False
045475,2024-01,2025-03,15,15,0,False
045476,2024-01,2025-03,15,15,0,False
045477,2024-04,2025-03,12,12,0,False
04A158,2017-01,2025-03,87,99,12,True
04A293,2017-01,2025-03,90,99,9,True
04E090,2017-01,2023-09,72,81,9,True
055001,2017-01,2025-03,96,99,3,True
055002,2017-01,2025-03,99,99,0,False
055003,2017-01,2025-03,99,99,0,False
055008,2017-01,2025-03,99,99,0,False
055011,2017-01,2025-03,84,99,15,True
055013,2017-01,2025-03,99,99,0,False
055014,2017-01,2025-03,99,99,0,False
055016,2017-01,2025-03,99,99,0,False
055017,2017-01,2025-03,99,99,0,False
