cms_certification_number,num_chows,first_seen_month,present_at_start,entered_after_start,bucket_0_count,bucket_1_count,bucket_2_count,bucket_3_count,bucket_4_count,bucket_5_count,bucket_6_count,chow_date_1,chow_magnitude_1,chow_method_1,chow_inconcl_1,chow_date_2,chow_magnitude_2,chow_method_2,chow_inconcl_2,chow_date_3,chow_magnitude_3,chow_method_3,chow_inconcl_3,chow_date_4,chow_magnitude_4,chow_method_4,chow_inconcl_4,chow_date_5,chow_magnitude_5,chow_method_5,chow_inconcl_5,chow_date_6,chow_magnitude_6,chow_method_6,chow_inconcl_6,chow_date_7,chow_magnitude_7,chow_method_7,chow_inconcl_7,chow_date_8,chow_magnitude_8,chow_method_8,chow_inconcl_8,chow_date_9,chow_magnitude_9,chow_method_9,chow_inconcl_9
015217,0,2003-06-30,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015220,1,2020-02-29,False,True,0,1,0,0,0,0,0,2020-05-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015221,0,2004-01-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015222,1,2009-12-31,True,False,0,1,0,1,0,0,0,2017-08-30,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015223,3,1994-05-31,True,False,0,5,0,0,0,0,0,2021-11-19,100.0,0.0,False,2022-04-04,100.0,0.0,False,2023-03-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,
015225,1,1981-07-31,True,False,0,2,0,0,0,0,0,2018-07-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015227,0,2009-12-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015228,3,2005-10-31,True,False,0,5,0,0,0,0,0,2017-12-01,100.0,0.0,False,2019-12-16,100.0,0.0,False,2023-08-25,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,
015303,3,2005-10-31,True,False,0,4,0,0,0,0,0,2017-12-01,100.0,0.0,False,2019-12-16,100.0,0.0,False,2023-08-25,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,
015315,0,2013-10-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015321,0,2004-11-30,True,False,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015322,0,2003-11-30,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015326,0,2002-11-30,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015331,1,2001-10-31,True,False,0,1,0,0,0,0,0,2022-10-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015336,0,2002-11-30,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015369,0,2009-04-30,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015371,1,2003-11-30,True,False,0,1,0,0,0,0,0,2019-01-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015372,1,2006-05-31,True,False,0,1,0,0,0,0,0,2018-05-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015373,0,1980-12-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015374,1,1992-11-30,True,False,0,1,0,0,0,0,0,2024-10-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015375,0,2016-08-31,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015376,2,1994-05-31,True,False,0,6,0,0,0,0,0,2021-11-19,100.0,0.0,False,2022-04-04,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015378,0,2002-08-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015379,0,2001-12-31,True,False,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015381,1,1979-03-31,True,False,0,1,0,0,0,0,0,2017-05-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015382,2,1994-05-31,True,False,0,4,0,0,0,0,0,2021-11-19,100.0,0.0,False,2023-03-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015383,1,2007-05-31,True,False,0,1,0,0,0,0,0,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015386,1,2007-10-31,True,False,0,1,0,0,0,0,0,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015388,0,2005-03-31,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015390,1,2010-01-31,True,False,0,1,0,0,0,0,0,2021-07-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015391,0,2000-01-31,True,False,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015392,2,2009-02-28,True,False,0,5,0,0,0,0,0,2019-04-01,100.0,0.0,False,2024-03-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015393,0,2003-11-30,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
